UMAP1,UMAP2
-7.716018,4.3217998
-8.022105,4.553561
-7.7245307,4.020852
5.6543207,-0.6348417
6.4971166,-0.63018364
-2.9977484,2.244838
-7.798009,4.299154
5.934363,-0.14771207
-7.9456654,3.8550503
-6.880631,3.3478775
-3.0068996,2.330428
5.781858,-0.80072945
6.0722146,-0.51046413
-2.929196,2.2190866
6.2927217,-0.37032488
-6.773419,4.061804
4.6530323,-0.9839605
-7.936042,3.9660904
-7.3535466,3.8680413
-8.283416,4.31392
6.208901,-0.28648087
-6.5568094,3.4423873
-2.952432,2.4213338
-3.3215618,2.2260969
-8.017154,3.751425
-6.959328,3.6041737
6.4422097,-0.8341773
-9.464913,5.191459
6.8205023,-0.8353764
-7.759315,3.731857
-8.413519,4.513222
-2.7956698,2.116647
4.482316,-1.1633328
-9.253311,4.252101
-8.385011,4.9459486
-7.082638,3.8567624
-9.420432,4.519378
-7.905448,4.2156615
-7.3988786,3.8244755
6.0927687,-0.82963896
-6.1685905,3.3416722
-8.191772,4.6819053
-7.8702383,4.133507
-7.4699945,4.245692
-7.44289,4.031593
-8.685934,4.168351
-8.4141245,4.3201423
-8.2085285,4.6307316
-7.1036983,3.8309224
-7.8267255,4.382973
-3.0177472,1.9736786
5.6951528,-0.4710493
-7.540268,4.089379
-7.489138,4.489248
-9.024201,4.6437426
-3.3136249,2.3623621
-8.289722,4.0564075
-8.826736,4.3572893
-7.073225,4.2794776
6.726683,-0.32748026
-7.6581154,3.8995252
4.346644,-1.035673
-8.621966,4.9805365
-3.6919217,2.510353
-8.468302,5.3406005
-6.7498794,3.7932925
6.1347375,0.015661884
5.796563,-0.75687504
5.802435,-0.54902345
-8.400147,4.077028
5.8202996,-0.8117639
6.2469907,-0.5296281
-8.194097,4.3182874
-9.673275,4.8077846
-3.3804767,2.1653345
-3.2597036,2.3940554
-5.488347,3.1024542
6.9122767,-0.7409619
-9.262216,4.5697265
-7.8757434,3.9021394
-6.777318,3.5958378
-2.8116019,2.2837722
4.446988,-1.1317357
-8.458264,3.898592
-7.405423,3.9434724
-8.651917,4.592189
-8.619623,4.2885585
-8.729504,4.773994
-4.725088,2.9844632
-7.458823,3.676295
-7.6703553,3.5003192
-2.8036902,2.1369448
-7.287197,3.7731051
-9.687974,5.029368
-7.856927,4.6345577
-8.659742,4.1659245
-7.5115685,3.5044863
6.0356765,-0.35914564
-3.00752,2.3677962
-7.9718933,3.892497
-8.612659,4.860692
-4.4618587,2.985232
4.6935,-1.0080453
-5.192791,3.1956582
-9.070847,4.7028008
4.4732246,-1.1504803
4.274502,-1.1762999
-7.569696,4.4474406
6.5061245,-0.56564635
-3.2702684,2.3000278
-2.953456,2.5665348
5.9371943,-0.40232143
-8.024121,4.2420287
-8.034022,4.643112
-2.6354866,2.0334768
-8.829833,4.125387
4.7076416,-0.9552517
-7.7170334,3.6581745
4.648481,-0.86326146
-8.615604,4.4171557
4.339924,-1.1674204
-8.451765,3.7359653
-8.122927,4.2905188
-8.452257,4.052767
-7.9118166,4.3413925
-8.8230095,4.699207
-6.9283338,3.42812
-8.724668,4.434644
-7.6870675,4.0592976
-5.707074,3.1600208
-8.087656,4.1647277
5.2783527,-0.5476505
-6.615705,3.5506127
-8.66873,4.212258
-7.8501654,4.3826394
-7.701591,4.611684
-8.976712,4.394091
6.490684,-0.5177254
-7.6150312,3.9535377
4.761882,-1.1651318
-8.6215515,4.3652277
-8.536232,4.515142
-7.669057,4.0208554
5.8090997,0.15165785
-7.3637257,3.7009242
-2.9266915,2.042488
-8.951299,4.686429
-7.320462,3.9457076
-8.967068,4.646962
-6.3344455,3.3391623
-3.3177104,2.1450205
-6.5265718,3.246663
-9.09779,4.685084
-7.6215754,4.0839467
-6.7792616,3.7243476
-8.838041,4.815643
-7.6164904,4.0759935
-6.6644526,3.7696133
-7.9940004,4.2420845
-3.5032833,2.7400515
-7.7882853,4.3046713
6.262379,-0.6674375
-3.6120067,2.6376183
-8.485477,4.699185
-8.944498,4.3254595
5.878778,-0.51109594
-5.9322233,3.2993898
-8.217607,3.938985
4.873745,-0.7747064
6.1540627,-0.84790325
-9.914001,4.908211
-3.1706307,2.3333397
-8.566776,4.931618
-8.060437,3.7249267
-8.164212,4.4103065
-8.052673,4.3093686
-8.519991,4.6012487
-8.179137,4.4955873
6.6472316,10.978283
-3.193617,1.9885323
-8.50128,4.045487
-7.6973557,3.8387153
5.7386136,0.09267381
-3.0186815,2.2293353
-6.52882,3.6975403
-3.5646207,2.563596
-8.029944,3.797828
-9.413153,4.8364224
-7.122886,3.7124941
-9.623977,4.419043
5.4717607,-0.5844799
-2.8782563,2.1922817
-8.325374,3.7883835
-7.5932784,4.4184237
-3.3087413,2.561503
-3.81065,2.6197715
-9.537255,4.198896
-7.297242,3.699763
-9.366779,4.380023
6.585284,-0.8574388
4.7217407,-0.9992417
-2.701833,2.1970012
-7.805548,4.512829
5.095346,-0.9925696
6.43599,-0.3992558
-9.285128,4.3904176
5.699969,-0.16779256
4.43286,-0.99896866
-2.9939575,1.9042938
5.5018883,-0.7732828
-3.2118666,2.6765108
6.6454377,10.976571
